"species","decimalLongitude","decimalLatitude"
"Piaractus.brachypomus",-69.954,-4.193
"Piaractus.brachypomus",-69.953,-4.193
"Piaractus.brachypomus",-69.952,-4.2
"Piaractus.brachypomus",-69.947,-4.225
"Piaractus.brachypomus",-69.937,-4.23
"Piaractus.brachypomus",-69.941,-4.215
"Piaractus.brachypomus",-70.01,-4.15
"Piaractus.brachypomus",-70.013,-4.151
"Piaractus.brachypomus",-73.253,-3.756
"Piaractus.brachypomus",-73.217,-3.85
"Piaractus.brachypomus",-54.74,-2.414
"Piaractus.brachypomus",-54.733,-2.417
"Piaractus.brachypomus",-55.99,-4.269
"Piaractus.brachypomus",-55.158,-2.443
"Piaractus.brachypomus",-54.799,-2.407
"Piaractus.brachypomus",-56.778,-9.322
"Piaractus.brachypomus",-56.084,-9.868
"Piaractus.brachypomus",-64.758,-3.408
"Piaractus.brachypomus",-64.87,-3.41
"Piaractus.brachypomus",-64.75,-3.4
"Piaractus.brachypomus",-64.711,-3.354
"Piaractus.brachypomus",-75.022,-7.351
"Piaractus.brachypomus",-74.513,-5.426
"Piaractus.brachypomus",-74.932,-7.658
"Piaractus.brachypomus",-73.767,-4.9
"Piaractus.brachypomus",-74.462,-8.43
"Piaractus.brachypomus",-74.603,-8.302
"Piaractus.brachypomus",-73.341,-11.78
"Piaractus.brachypomus",-52.175,-1.758
"Piaractus.brachypomus",-52.663,-1.733
"Piaractus.brachypomus",-52.665,-1.731
"Piaractus.brachypomus",-52.674,-1.749
"Piaractus.brachypomus",-52.67,-1.726
"Piaractus.brachypomus",-52.685,-1.742
"Piaractus.brachypomus",-52.167,-1.75
"Piaractus.brachypomus",-53.255,-9.179
